ID,Objavljeno,Ime,Rešilo #,Najhitrejši čas [s],Povprečni čas [s],Highscore #
409,"5th January 2013, 04:00 pm",Nim Extreme,293,620,192578,100
410,"12th January 2013, 07:00 pm",Circle and tangent line,179,2913,629430,100
411,"19th January 2013, 10:00 pm",Uphill paths,384,1149,111900,100
412,"27th January 2013, 01:00 am",Gnomon numbering,301,936,125663,100
413,"3rd February 2013, 04:00 am",One-child Numbers,251,2417,813891,100
414,"10th February 2013, 07:00 am",Kaprekar constant,184,3539,248548,100
415,"17th February 2013, 10:00 am",Titanic sets,200,19864,7919161,100
416,"23rd February 2013, 01:00 pm",A frog's trip,183,2415,1394233,100
417,"2nd March 2013, 04:00 pm",Reciprocal cycles II,503,1304,49373,100
418,"9th March 2013, 07:00 pm",Factorisation triples,415,2234,62988,100
419,"16th March 2013, 10:00 pm",Look and say sequence,325,4699,118070,100
420,"24th March 2013, 01:00 am",2x2 positive integer matrix,264,3433,348012,100
421,"31st March 2013, 04:00 am",Prime factors of ,369,5223,168116,100
422,"7th April 2013, 07:00 am",Sequence of points on a hyperbola,169,4092,959123,100
423,"14th April 2013, 10:00 am",Consecutive die throws,278,827,103978,100
424,"20th April 2013, 01:00 pm",Kakuro,238,5633,303800,100
425,"27th April 2013, 04:00 pm",Prime connection,867,448,19422,100
426,"4th May 2013, 07:00 pm",Box-ball system,168,3687,948787,100
427,"11th May 2013, 10:00 pm",n-sequences,170,10859,4588029,100
428,"19th May 2013, 01:00 am",Necklace of circles,150,3724,2903792,100
429,"26th May 2013, 04:00 am",Sum of squares of unitary divisors,1414,254,12467,100
430,"2nd June 2013, 07:00 am",Range flips,522,1839,45385,100
431,"9th June 2013, 10:00 am",Square Space Silo,384,2528,56169,100
432,"15th June 2013, 01:00 pm",Totient sum,265,2970,727253,100
433,"22nd June 2013, 04:00 pm",Steps in Euclid's algorithm,301,19701,480579,100
434,"29th June 2013, 07:00 pm",Rigid graphs,225,4551,1197764,100
435,"7th September 2013, 04:00 pm",Polynomials of Fibonacci numbers,574,848,24717,100
436,"14th September 2013, 07:00 pm",Unfair wager,278,5230,247786,100
437,"21st September 2013, 10:00 pm",Fibonacci primitive roots,447,424,39403,100
438,"29th September 2013, 01:00 am",Integer part of polynomial equation's solutions,177,6121,3937419,93
439,"6th October 2013, 04:00 am",Sum of sum of divisors,176,2437,5070695,85
440,"13th October 2013, 07:00 am",GCD and Tiling,205,1629,249745,100
441,"20th October 2013, 10:00 am",The inverse summation of coprime couples,221,1821,398211,100
442,"26th October 2013, 01:00 pm",Eleven-free integers,244,1205,216386,100
443,"2nd November 2013, 04:00 pm",GCD sequence,612,752,29625,100
444,"9th November 2013, 07:00 pm",The Roundtable Lottery,179,1641,260325,100
445,"16th November 2013, 10:00 pm",Retractions A,205,1599,138454,100
446,"16th November 2013, 10:00 pm",Retractions B,195,4140,265185,100
447,"16th November 2013, 10:00 pm",Retractions C,150,2071,3000875,89
448,"24th November 2013, 01:00 am",Average least common multiple,191,2096,1121843,100
449,"8th December 2013, 04:00 am",Chocolate covered candy,522,1443,55661,100
450,"15th December 2013, 07:00 am",Hypocycloid and Lattice points,123,11136,2660523,61
451,"22nd December 2013, 10:00 am",Modular inverses,807,499,32512,100
452,"28th December 2013, 01:00 pm",Long Products,338,1980,84587,100
453,"4th January 2014, 04:00 pm",Lattice Quadrilaterals,140,44681,3388575,80
454,"11th January 2014, 07:00 pm",Diophantine reciprocals III,293,1828,148610,100
455,"18th January 2014, 10:00 pm",Powers With Trailing Digits,410,640,76436,100
456,"26th January 2014, 01:00 am",Triangles containing the origin II,274,1993,165492,100
457,"2nd February 2014, 04:00 am",A polynomial modulo the square of a prime,437,1177,37932,100
458,"9th February 2014, 07:00 am",Permutations of Project,468,481,25708,100
459,"16th February 2014, 10:00 am",Flipping game,147,7888,2183199,60
460,"22nd February 2014, 01:00 pm",An ant on the move,218,1970,243227,100
461,"1st March 2014, 04:00 pm",Almost Pi,669,942,24801,100
462,"8th March 2014, 07:00 pm",Permutation of 3-smooth numbers,185,881,232367,100
463,"15th March 2014, 10:00 pm",A weird recurrence relation,603,1589,35735,100
464,"23rd March 2014, 01:00 am",Möbius function and intervals,175,3265,278949,100
465,"30th March 2014, 05:00 am",Polar polygons,132,5043,1202804,74
466,"6th April 2014, 07:00 am",Distinct terms in a multiplication table,184,2118,470864,100
467,"13th April 2014, 10:00 am",Superinteger,260,971,132905,100
468,"19th April 2014, 01:00 pm",Smooth divisors of binomial coefficients,159,764,628942,97
469,"26th April 2014, 04:00 pm",Empty chairs,420,892,52569,100
470,"3rd May 2014, 07:00 pm",Super Ramvok,137,2945,405925,96
471,"10th May 2014, 10:00 pm",Triangle inscribed in ellipse,132,2701,472596,76
472,"18th May 2014, 01:00 am",Comfortable Distance II,169,4553,319902,100
473,"25th May 2014, 04:00 am",Phigital number base,444,2351,39454,100
474,"1st June 2014, 07:00 am",Last digits of divisors,220,1736,135345,100
475,"8th June 2014, 10:00 am",Music festival,244,945,122342,100
476,"14th June 2014, 01:00 pm",Circle Packing II,269,2396,33884,58
477,"23rd August 2014, 04:00 pm",Number Sequence Game,160,3374,490930,100
478,"30th August 2014, 07:00 pm",Mixtures,112,6873,14005452,100
479,"6th September 2014, 10:00 pm",Roots on the Rise,697,843,24657,100
480,"14th September 2014, 01:00 am",The Last Question,340,1648,91153,100
481,"21st September 2014, 04:00 am",Chef Showdown,147,4092,474809,100
482,"28th September 2014, 07:00 am",The incenter of a triangle,129,4229,2293957,100
483,"5th October 2014, 10:00 am",Repeated permutation,107,7335,13617501,100
484,"11th October 2014, 01:00 pm",Arithmetic Derivative,128,3407,6726736,100
485,"18th October 2014, 04:00 pm",Maximum number of divisors,602,323,25590,100
486,"25th October 2014, 07:00 pm",Palindrome-containing strings,152,4166,642506,100
487,"1st November 2014, 10:00 pm",Sums of power sums,355,1496,64805,100
488,"9th November 2014, 01:00 am",Unbalanced Nim,141,5630,1247884,100
489,"16th November 2014, 04:00 am",Common factors between two sequences,112,3511,6669841,100
490,"23rd November 2014, 07:00 am",Jumping frog,137,5223,3363137,100
491,"30th November 2014, 10:00 am",Double pandigital number divisible by 11,1056,309,13385,100
492,"6th December 2014, 01:00 pm",Exploding sequence,197,3327,339420,100
493,"13th December 2014, 04:00 pm",Under The Rainbow,2197,186,6499,100
494,"20th December 2014, 07:00 pm",Collatz prefix families,115,8780,9457908,100
495,"27th December 2014, 10:00 pm",Writing n as the product of k distinct positive integers,103,5783,14906364,100
496,"4th January 2015, 01:00 am",Incenter and circumcenter of triangle,179,1306,145309,100
497,"11th January 2015, 04:00 am",Drunken Tower of Hanoi,278,1836,55879,100
498,"18th January 2015, 07:00 am",Remainder of polynomial division,275,1365,67473,100
499,"25th January 2015, 10:00 am",St. Petersburg Lottery,157,4173,6418646,100
500,"31st January 2015, 01:00 pm",Problem 500!!!,1749,451,10817,100
501,"31st January 2015, 01:00 pm",Eight Divisors,674,601,76479,100
502,"7th February 2015, 04:00 pm",Counting Castles,142,3506,6979665,100
503,"14th February 2015, 07:00 pm",Compromise or persist,202,1991,269127,100
504,"21st February 2015, 10:00 pm",Square on the Inside,1428,316,7681,100
505,"1st March 2015, 01:00 am",Bidirectional Recurrence,128,2814,2668522,100
506,"8th March 2015, 04:00 am",Clock sequence,473,1024,30126,100
507,"15th March 2015, 07:00 am",Shortest Lattice Vector,128,1668,2624573,100
508,"22nd March 2015, 10:00 am",Integers in base i-1,129,2045,2093577,100
509,"28th March 2015, 01:00 pm",Divisor Nim,309,518,74196,100
510,"4th April 2015, 04:00 pm",Tangent Circles,564,652,27956,100
511,"11th April 2015, 07:00 pm",Sequences with nice divisibility properties,234,1171,161427,100
512,"18th April 2015, 10:00 pm",Sums of totients of powers,773,445,20021,100
513,"26th April 2015, 01:00 am",Integral median,193,4082,367692,100
514,"3rd May 2015, 04:00 am",Geoboard Shapes,124,1941,3177727,100
515,"10th May 2015, 07:00 am",Dissonant Numbers,277,536,59510,100
516,"17th May 2015, 10:00 am",5-smooth totients,689,649,16017,100
517,"23rd May 2015, 01:00 pm",A real recursion,285,558,81948,100
518,"30th May 2015, 04:00 pm",Prime triples and geometric sequences,723,940,15340,100
519,"6th June 2015, 07:00 pm",Tricolored Coin Fountains,218,392,155011,100
520,"13th June 2015, 10:00 pm",Simbers,242,1814,94373,100
521,"21st June 2015, 01:00 am",Smallest prime factor,425,198,115633,100
522,"28th June 2015, 04:00 am",Hilbert's Blackout,151,4407,1816716,100
523,"6th September 2015, 07:00 am",First Sort I,453,620,30667,100
524,"6th September 2015, 07:00 am",First Sort II,130,5118,732617,100
525,"13th September 2015, 10:00 am",Rolling Ellipse,269,1362,96444,100
526,"19th September 2015, 01:00 pm",Largest prime factors of consecutive numbers,193,7608,375054,100
527,"26th September 2015, 04:00 pm",Randomized Binary Search,374,998,30869,100
528,"3rd October 2015, 07:00 pm",Constrained Sums,162,545,218789,100
529,"10th October 2015, 10:00 pm",10-substrings,113,4867,1526782,100
530,"18th October 2015, 01:00 am",GCD of Divisors,187,1267,222013,100
531,"25th October 2015, 04:00 am",Chinese leftovers,482,269,17275,100
532,"1st November 2015, 07:00 am",Nanobots on Geodesics,183,2456,200767,100
533,"8th November 2015, 10:00 am",Minimum values of the Carmichael function,198,885,113787,100
534,"14th November 2015, 01:00 pm",Weak Queens,191,2179,176919,100
535,"21st November 2015, 04:00 pm",Fractal Sequence,182,4417,213818,100
536,"28th November 2015, 07:00 pm",Modulo power identity ,170,1591,236994,100
537,"5th December 2015, 10:00 pm",Counting tuples,273,467,38045,100
538,"13th December 2015, 01:00 am",Maximum quadrilaterals,202,990,55277,100
539,"20th December 2015, 04:00 am",Odd elimination,421,1577,33634,100
540,"27th December 2015, 07:00 am",Counting primitive Pythagorean triples,263,871,34228,100
541,"3rd January 2016, 10:00 am",Divisibility of Harmonic Number Denominators,105,6917,2253476,100
542,"9th January 2016, 01:00 pm",Geometric Progression with Maximum Sum,123,2414,403194,100
543,"16th January 2016, 04:00 pm",Prime-Sum Numbers,311,809,23942,100
544,"23rd January 2016, 07:00 pm",Chromatic Conundrum,107,4235,1885110,100
545,"30th January 2016, 10:00 pm",Faulhaber's Formulas,241,913,39790,100
546,"7th February 2016, 01:00 am",The Floor's Revenge,119,4576,1447425,100
547,"14th February 2016, 04:00 am",Distance of random points within hollow square laminae,120,7527,550023,100
548,"21st February 2016, 07:00 am",Gozinta Chains,257,1831,50778,100
549,"28th February 2016, 10:00 am",Divisibility of factorials,670,367,7512,100
550,"5th March 2016, 01:00 pm",Divisor game,150,934,188284,100
551,"12th March 2016, 04:00 pm",Sum of digits sequence,199,60,138575,100
552,"19th March 2016, 07:00 pm",Chinese leftovers II,202,756,70218,100
553,"26th March 2016, 10:00 pm",Power sets of power sets,104,2501,1357256,100
554,"3rd April 2016, 01:00 am",Centaurs on a chess board,108,6342,950546,100
555,"10th April 2016, 04:00 am",McCarthy 91 function,279,834,28041,100
556,"17th April 2016, 07:00 am",Squarefree Gaussian Integers,99,2619,1319219,99
